数据分析与挖掘-python工程师-00410,卫宁健康科技集团股份有限公司,上海-静安区,1.5-2万/月,2年经验,本科,http://jobs.51job.com/shanghai-jaq/91125026.html?s=01&t=0
Python开发工程师,魔视智能科技（上海）有限公司,上海-浦东新区,1-2.5万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-pdxq/94810987.html?s=01&t=0
Python研发工程师,上海岂安信息科技有限公司,上海-徐汇区,1.5-3万/月,1年经验,,http://jobs.51job.com/shanghai-xhq/72278079.html?s=01&t=0
Python中级开发工程师,上海金指软件技术有限公司,上海-浦东新区,1.2-1.8万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-pdxq/89888826.html?s=01&t=0
Python工程师,上海游讯信息科技有限公司,异地招聘,1-1.5万/月,2年经验,,http://jobs.51job.com/kunshan/71187928.html?s=01&t=0
Python工程师（数据方向）,波罗蜜 全球购,上海-普陀区,1-1.5万/月,1年经验,本科,http://jobs.51job.com/shanghai-ptq/94878926.html?s=01&t=0
python后端开发工程师,上海六感科技有限公司,上海-闸北区,1.5-2.5万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-zbq/92334333.html?s=01&t=0
Python开发工程师,北京众标智能科技有限公司,上海-徐汇区,1-1.5万/月,2年经验,,http://jobs.51job.com/shanghai-xhq/94462963.html?s=01&t=0
python开发工程师,上海东方低碳科技产业股份有限公司,上海-长宁区,0.8-1万/月,2年经验,大专,http://jobs.51job.com/shanghai-cnq/93382648.html?s=01&t=0
Python开发工程师,北京国双科技有限公司,上海-静安区,1-2万/月,无工作经验,,http://jobs.51job.com/shanghai-jaq/87538384.html?s=01&t=0
Python开发工程师（上海）,北京国双科技有限公司,上海,,无工作经验,,http://jobs.51job.com/shanghai/93360055.html?s=01&t=0
Python开发工程师,上海驻云信息科技有限公司,上海-浦东新区,1.2-1.8万/月,3-4年经验,大专,http://jobs.51job.com/shanghai-pdxq/85014051.html?s=01&t=0
Python高级开发工程师,上海复深蓝软件股份有限公司,上海-静安区,1.7-3.4万/月,5-7年经验,,http://jobs.51job.com/shanghai-jaq/94754242.html?s=01&t=0
Python Web 开发工程师（上海）,乐荐信息科技（北京）有限公司,上海-浦东新区,1.5-2万/月,1年经验,本科,http://jobs.51job.com/shanghai-pdxq/94221667.html?s=01&t=0
高级python开发工程师,有获网络科技（上海）有限公司,上海-闵行区,1.3-2万/月,无工作经验,,http://jobs.51job.com/shanghai-mhq/79224894.html?s=01&t=0
工具开发工程师(Python)J10718,展讯通信（上海）有限公司,上海-浦东新区,1.5-2万/月,3-4年经验,本科,http://jobs.51job.com/shanghai-pdxq/93417928.html?s=01&t=0
开发工程师（Python）,上海凭安征信服务有限公司,上海-长宁区,0.8-1.6万/月,2年经验,本科,http://jobs.51job.com/shanghai-cnq/91330368.html?s=01&t=0
python工程师,上海拍拍贷金融信息服务有限公司,上海,2-2.5万/月,无工作经验,本科,http://jobs.51job.com/shanghai/90305206.html?s=01&t=0
数据分析师,“前程无忧”51job.com（上海）,上海-浦东新区,,,,http://51rz.51job.com/sc/show_job_detail.php?jobid=93029960
python开发工程师,上海乐野网络科技有限公司,上海-浦东新区,0.7-1.5万/月,2年经验,本科,http://jobs.51job.com/shanghai-pdxq/87163370.html?s=01&t=0
Python程序员(游戏开发),上海指玩网络科技有限公司,上海-浦东新区,1.2-3万/月,无工作经验,,http://jobs.51job.com/shanghai-pdxq/80211803.html?s=01&t=0
