,Unnamed: 0,职位名,链接,公司,工作地点,薪资,经验,学历,地区,月薪,大专,本科,硕士,高中
756,1458,测试工程师,http://jobs.51job.com/beijing-ftq/90555355.html?s=01&t=0,北京物联银汇数据科技有限公司,北京-丰台区,0.6-1.2万/月,2年经验,大专,6,9000.0,1,0,0,0
757,1460,H5开发工程师,http://jobs.51job.com/guangzhou-thq/90979594.html?s=01&t=0,广州雷猴软件开发有限公司,广州-天河区,1-1.5万/月,2年经验,本科,19,12500.0,0,1,0,0
758,1462,测试工程师,http://jobs.51job.com/shenzhen-nsq/92016742.html?s=01&t=0,深圳至臻天龙投资发展有限公司,深圳-南山区,0.7-1.2万/月,2年经验,大专,30,9500.0,1,0,0,0
759,1463,视觉识别设计,http://jobs.51job.com/changzhou-zlq/92019534.html?s=01&t=0,常州华达科捷光电仪器有限公司,常州-钟楼区,6-8千/月,3-4年经验,本科,18,7000.0,0,1,0,0
760,1464,嵌入式软件工程师,http://jobs.51job.com/shenzhen-nsq/91914788.html?s=01&t=0,深圳汉阳科技有限公司,深圳-南山区,1-1.5万/月,1年经验,硕士,30,12500.0,0,0,1,0
761,1465,Algorithm field engineer,http://jobs.51job.com/shenzhen-nsq/92019868.html?s=01&t=0,薪得付信息技术（上海）有限公司,深圳-南山区,1.5-2万/月,5-7年经验,本科,30,17500.0,0,1,0,0
762,1466,高级前端开发工程师,http://jobs.51job.com/zhuhai/89548114.html?s=01&t=0,广东鼎义互联科技股份有限公司,珠海,0.8-1.6万/月,3-4年经验,本科,33,12000.000000000002,0,1,0,0
763,1468,大数据算法研究员,http://jobs.51job.com/beijing/91051596.html?s=01&t=0,中寰卫星导航通信有限公司,北京,1-2万/月,无工作经验,硕士,6,15000.0,0,0,1,0
764,1469,数据模型经理,http://jobs.51job.com/shanghai-pdxq/91388783.html?s=01&t=0,卡得万利商业保理有限公司,上海-浦东新区,1.5-3万/月,5-7年经验,本科,0,22500.0,0,1,0,0
765,1471,质量测试工程师（QC）,http://jobs.51job.com/suzhou/88615436.html?s=01&t=0,八爪鱼在线旅游发展有限公司,苏州,1-1.5万/月,3-4年经验,大专,36,12500.0,1,0,0,0
766,1473,高级/资深图像算法工程师（猎头）,http://jobs.51job.com/shanghai-pdxq/81880517.html?s=01&t=0,上海江村市隐智能科技有限公司,上海-浦东新区,3-5万/月,3-4年经验,硕士,0,40000.0,0,0,1,0
767,1476,WEB前端工程师,http://jobs.51job.com/changchun-cyq/92017095.html?s=01&t=0,聚法科技（长春）有限公司,长春-朝阳区,6-8千/月,3-4年经验,本科,41,7000.0,0,1,0,0
768,1477,人工智能自然语言理解处理及算法工程师,http://jobs.51job.com/nanjing-jyq/83677062.html?s=01&t=0,江苏华盾科技有限公司,南京-建邺区,0.8-1万/月,2年经验,硕士,7,9000.0,0,0,1,0
769,1478,运维开发工程师,http://jobs.51job.com/beijing/92017571.html?s=01&t=0,北京游道易网络文化有限公司,北京,1.4-1.8万/月,1年经验,大专,6,16000.0,1,0,0,0
770,1479,Node.js Developer (backend),http://jobs.51job.com/chengdu-jnq/71996800.html?s=01&t=0,图丰信息（成都）有限责任公司,成都-金牛区,1-1.5万/月,3-4年经验,本科,21,12500.0,0,1,0,0
771,1481,Linux运维工程师（自动化运维）,http://jobs.51job.com/guangzhou-thq/86012728.html?s=01&t=0,广东中建普联科技股份有限公司,广州-天河区,0.8-1.2万/月,2年经验,大专,19,10000.0,1,0,0,0
772,1482,运维工程师,http://jobs.51job.com/shenzhen/87637381.html?s=01&t=0,深圳盈富斯科技有限公司,深圳,1-1.5万/月,2年经验,本科,30,12500.0,0,1,0,0
773,1483,网络安全工程师,http://jobs.51job.com/shanghai-mhq/92016731.html?s=01&t=0,途虎养车网,上海-闵行区,1-2万/月,3-4年经验,本科,0,15000.0,0,1,0,0
774,1484,Linux系统运维工程师,http://jobs.51job.com/shenzhen-nsq/92017020.html?s=01&t=0,中新智擎科技有限公司,深圳-南山区,1-1.2万/月,2年经验,大专,30,11000.0,1,0,0,0
775,1485,PHP高级开发工程师,http://jobs.51job.com/shanghai-mhq/92016710.html?s=01&t=0,远丰仁商软件技术（上海）有限公司,上海-闵行区,1-1.5万/月,1年经验,大专,0,12500.0,1,0,0,0
776,1486,深度学习视觉算法工程师,http://jobs.51job.com/guangzhou-thq/85543078.html?s=01&t=0,广东海格怡创科技有限公司,广州-天河区,0.7-1.4万/月,无工作经验,本科,19,10499.999999999998,0,1,0,0
777,1487,linux 运维工程师,http://jobs.51job.com/shanghai-mhq/71838672.html?s=01&t=0,上海志承软件有限公司,上海-闵行区,5-8千/月,1年经验,大专,0,6500.0,1,0,0,0
778,1489,.net开发工程师,http://jobs.51job.com/shenzhen-ftq/74982185.html?s=01&t=0,深圳市前海领投互联网金融服务有限公司,深圳-福田区,1-1.5万/月,3-4年经验,本科,30,12500.0,0,1,0,0
779,1497,运维工程师(数据管理工程师),http://jobs.51job.com/shanghai-pdxq/89091508.html?s=01&t=0,上海车团网络信息技术有限公司,上海-浦东新区,1-1.8万/月,1年经验,本科,0,14000.0,0,1,0,0
780,1498,Embedded SW design engineer,http://jobs.51job.com/beijing-cyq/91841901.html?s=01&t=0,陌奈信息科技（上海）有限公司,北京-朝阳区,1.5-2万/月,3-4年经验,大专,6,17500.0,1,0,0,0
781,1499,运维工程师,http://jobs.51job.com/dongguan-ncq/82010085.html?s=01&t=0,东莞市商二信息科技有限公司,东莞-南城区,5-7千/月,1年经验,大专,1,6000.0,1,0,0,0
782,1500,全栈工程师-厦门,http://jobs.51job.com/xiamen/92015651.html?s=01&t=0,厦门美图之家科技有限公司,厦门,1-1.5万/月,2年经验,本科,10,12500.0,0,1,0,0
783,1503,测试开发（自动化测试）,http://jobs.51job.com/beijing-cyq/92015777.html?s=01&t=0,华科星汇（北京）科技有限公司,北京-朝阳区,1.5-2.5万/月,5-7年经验,大专,6,20000.0,1,0,0,0
784,1504,数据库工程师,http://jobs.51job.com/shanghai-cnq/92015448.html?s=01&t=0,北京三赢伟业科技有限公司,上海-长宁区,1-1.5万/月,5-7年经验,本科,0,12500.0,0,1,0,0
785,1506,自动化测试工程师,http://jobs.51job.com/shanghai-hkq/92015163.html?s=01&t=0,西十区,上海-虹口区,1.2-1.8万/月,2年经验,大专,0,15000.0,1,0,0,0
786,1507,PHP服务器开发工程师,http://jobs.51job.com/beijing-cyq/91220218.html?s=01&t=0,北京罗曼空间科技有限公司,北京-朝阳区,1-1.5万/月,3-4年经验,大专,6,12500.0,1,0,0,0
787,1508,美术技术/TA,http://jobs.51job.com/guangzhou-hzq/89492134.html?s=01&t=0,广州数娱信息科技有限公司,广州-海珠区,1-1.5万/月,5-7年经验,本科,19,12500.0,0,1,0,0
788,1509,系统测试工程师,http://jobs.51job.com/shanghai-pdxq/91478364.html?s=01&t=0,上海乐相科技有限公司,上海-浦东新区,1-1.5万/月,3-4年经验,本科,0,12500.0,0,1,0,0
789,1512,网管资讯经理,http://jobs.51job.com/shanghai-mhq/92014491.html?s=01&t=0,成旅企业管理咨询有限公司,上海-闵行区,1-1.5万/月,5-7年经验,本科,0,12500.0,0,1,0,0
790,1513,软件开发实习生（大数据、机器学习方向）,http://jobs.51job.com/wuhan/88568656.html?s=01&t=0,武汉蓝智科技有限公司,武汉,1.5-2千/月,无工作经验,大专,25,1750.0,1,0,0,0
791,1514,云计算架构师,http://jobs.51job.com/chengdu-jjq/91444010.html?s=01&t=0,成都和创新天软件服务有限公司,成都-锦江区,1-1.5万/月,5-7年经验,本科,21,12500.0,0,1,0,0
792,1518,运维工程师,http://jobs.51job.com/hangzhou-jgq/88667044.html?s=01&t=0,爱客仕网络科技有限公司,杭州-江干区,0.8-1.2万/月,2年经验,大专,24,10000.0,1,0,0,0
793,1520,OP运维工程师,http://jobs.51job.com/chengdu/75393717.html?s=01&t=0,四川世纪银通科技有限公司,成都,0.8-1.2万/月,3-4年经验,本科,21,10000.0,0,1,0,0
794,1522,产品技术中心 企业IT 高级测试工程师(14098),http://jobs.51job.com/guangzhou-lwq/92013975.html?s=01&t=0,唯品会（中国）有限公司,广州-荔湾区,1.5-2万/月,5-7年经验,大专,19,17500.0,1,0,0,0
795,1523,Web前端工程师,http://jobs.51job.com/hangzhou-bjq/91249269.html?s=01&t=0,杭州前缀网络科技有限公司,杭州-滨江区,0.8-1.5万/月,2年经验,大专,24,11500.0,1,0,0,0
